,
Tasks,Hours
template for seaching page,1
create the search bar ,1
create drop down for filter and mechanics,3
choosing requirements (individual tickboxes for dietary restrictions... sliders for budget),2
Apply button which alters stored information of user (preferences),3
Search button,1
create page template for search results,3
display on recipe options which requirements (if any) are missing ,2
create page for no search results found,1
create display for how many search results found,1.5